"ID","MASTERRECORDID","NAME","TYPE","PARENTID","BILLINGCITY","BILLINGSTATE","BILLINGCOUNTRY","WEBSITE","INDUSTRY","ANNUALREVENUE","OWNERID","CREATEDDATE","CREATEDBYID","STAGE__C","MARKETINGTIER__C","SUB_INDUSTRY__C","TARGET_ACCOUNT__C","MODEL_N_CUSTOMER__C","MARKETING_TARGET__C","STATUS"
"00100000001tVm5AAE","","GE Medical Systems","Manufacturer","","Waukesha","WI","USA","www.gehealthcare.com","Life Sciences","2.8E9","005000000074E1AAAU","2002-03-08T07:01:22.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVm6AAE","","Novartis AG_NJ","Manufacturer","00100000004HbvuAAC","East Hanover","NJ","USA","www.novartis.com","Life Sciences","4.1E10","005000000075Jq7AAE","2002-03-08T07:01:22.000Z","00500000004cHgyAAE","0 - Target","A","Pharma","false","true","Target","Item queried and written successfully"
"00100000001tVmRAAU","","Kimberly-Clark Corporation","Manufacturer","","Irving","TX","USA","www.kimberly-clark.com","High Tech","1.9415E10","005000000071vjbAAA","2002-03-08T07:01:24.000Z","00500000004cHgyAAE","0 - Target","A","Paper & Paper Product Manufacturing","true","false","Target","Item queried and written successfully"
"00100000001tVmoAAE","","Instrumentarium Imaging Corp.","Manufacturer","00100000001tVm5AAE","Milwaukee","WI","USA","http://www.instrumentarium.com","Life Sciences","1.16E7","005000000071zziAAA","2002-03-08T07:01:25.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVmvAAE","","Johnson & Johnson Medical Products (Canada)","Manufacturer","00100000001tVsZAAU","Markham","ON","Canada","","Life Sciences","","005000000075Jq7AAE","2002-03-08T07:01:26.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVnDAAU","","Covidien Pharmaceutical Products","Manufacturer","00100000001tVq0AAE","Hazelwood","MO","USA","http://www.mallinckrodt.com","Life Sciences","3.0E9","005000000074E15AAE","2002-03-08T07:01:27.000Z","00500000004cHgyAAE","0 - Target","","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVnPAAU","","McKesson HBOC Inc.","Distributor","001000000032VoBAAU","San Francisco","CA","USA","http://www.mckhboc.com","Life Sciences","8.05146E10","005000000074E1AAAU","2002-03-08T07:01:28.000Z","00500000004cHgyAAE","0 - Target","","Other","false","false","Disqualified","Item queried and written successfully"
"00100000001tVnbAAE","","McNeil Consumer Health Care","Manufacturer","00100000001tVsZAAU","Fort Washington","PA","USA","http:www.motrin.com","Life Sciences","5.0E8","005000000075Jq7AAE","2002-03-08T07:01:29.000Z","00500000004cHgyAAE","0 - Target","","Pharma","false","false","Target","Item queried and written successfully"
"00100000001tVneAAE","","Medline Industries","Manufacturer","","MUNDELEIN","IL","USA","http://www.medline.com","Life Sciences","2.83E9","005000000074E1AAAU","2002-03-08T07:01:29.000Z","00500000004cHgyAAE","1 - Prospect","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVnhAAE","","Merck-Medco Managed Care, L.L.C.","Manufacturer","00100000001tVsGAAU","Franklin Lakes","NJ","USA","www.merck-medco.com","Life Sciences","0.0","005000000071zziAAA","2002-03-08T07:01:29.000Z","00500000004cHgyAAE","0 - Target","","Pharma","false","false","Target","Item queried and written successfully"
"00100000001tVniAAE","","Medco Health Solutions Inc.","Manufacturer","00100000001tVnhAAE","Franklin Lakes","NJ","USA","www.medcohealth.com","Life Sciences","3.53519E10","005000000071zziAAA","2002-03-08T07:01:30.000Z","00500000004cHgyAAE","0 - Target","","Pharma","false","false","Disqualified","Item queried and written successfully"
"00100000001tVoAAAU","","Novartis Nutrition","Manufacturer","00100000002vtiLAAQ","St Louis Park","MN","USA","http://www.novartisnutrition.com/index.jsp","Life Sciences","7.28E7","005000000075Jq7AAE","2002-03-08T07:01:31.000Z","00500000004cHgyAAE","0 - Target","","Pharma","false","false","Target","Item queried and written successfully"
"00100000001tVoCAAU","","Olympus America Inc.","Manufacturer","","Melville","NY","USA","","Life Sciences","5.0E8","005000000071zziAAA","2002-03-08T07:01:32.000Z","00500000004cHgyAAE","1 - Prospect","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVoDAAU","","Olympus America Inc./Medical Instruments Division","Manufacturer","00100000001tVoCAAU","Melville","NY","USA","","Life Sciences","600.0","00500000006oz7zAAA","2002-03-08T07:01:32.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVomAAE","","PSS World Medical Inc.","Distributor","","Jacksonville","FL","USA","http://www.pssd.com/wmi/index.htm","Life Sciences","1.4738E9","005000000071zziAAA","2002-03-08T07:01:38.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Disqualified","Item queried and written successfully"
"00100000001tVosAAE","","Roche Holdings Inc","Manufacturer","00100000002vticAAA","Wilmington","DE","USA","","Life Sciences","2.1396E9","0050000000720faAAA","2002-03-08T07:01:39.000Z","00500000004cHgyAAE","0 - Target","","Pharma","false","false","Target","Item queried and written successfully"
"00100000001tVotAAE","","Roche Diagnostics North America","Manufacturer","00100000001tVosAAE","Indianapolis","IN","USA","www.roche.com","Life Sciences","7.8E9","0050000000720faAAA","2002-03-08T07:01:39.000Z","00500000004cHgyAAE","2 - Pre-qualified","","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVpCAAU","","Siemens Medical Solutions Inc","Manufacturer","","Malvern","PA","USA","www.siemensmedical.com","Life Sciences","6.43E8","005000000074E1AAAU","2002-03-08T07:01:41.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVpGAAU","","Schering-Plough HealthCare Products Inc.","Manufacturer","00100000001tVuKAAU","Berkeley Heights","NJ","USA","","Life Sciences","3.72E7","005000000071zziAAA","2002-03-08T07:01:41.000Z","00500000004cHgyAAE","0 - Target","","Pharma","false","false","Target","Item queried and written successfully"
"00100000001tVpOAAU","","Smith & Nephew Orthopedics","Manufacturer","00100000001tVpPAAU","Memphis","TN","USA","www.smithnephew.com","Life Sciences","1.8E9","005000000074E1AAAU","2002-03-08T07:01:42.000Z","00500000004cHgyAAE","2 - Pre-qualified","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVpPAAU","","Smith & Nephew PLC","Manufacturer","","ST PETERSBURG","FL","United Kingdom","www.smith-nephew.com","Life Sciences","3.801E9","0050000000726E0AAI","2002-03-08T07:01:42.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVpcAAE","","Sunrise Medical Inc.","Manufacturer","","Carlsbad","CA","USA","www.sunrisemedical.com","Life Sciences","6.44E8","005000000074E1AAAU","2002-03-08T07:01:43.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVprAAE","","Takeda Pharmaceuticals NA, Inc.","Manufacturer","","Deerfield","IL","USA","www.tpna.com","Life Sciences","1.4E10","005000000074nYnAAI","2002-03-08T07:01:45.000Z","00500000004cHgyAAE","0 - Target","","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVpxAAE","","Tyco Healthcare Group","Manufacturer","00100000003KcSiAAK","Mansfield","MA","USA","http://www.tycohealthcare.com/index.html","Life Sciences","7.8991E9","005000000074nYnAAI","2002-03-08T07:01:46.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVq0AAE","","Covidien","Manufacturer","00100000003KcSiAAK","MANSFIELD","MA","USA","www.covidien.com","Life Sciences","1.2259E9","005000000074E1AAAU","2002-03-08T07:01:46.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVqYAAU","","AstraZeneca Pharmaceuticals LP","Manufacturer","00100000003Y2eeAAC","Wilmington","DE","USA","www.astrazeneca.com","Life Sciences","3.16E10","005000000074nYnAAI","2002-03-08T07:01:49.000Z","00500000004cHgyAAE","0 - Target","","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVqZAAU","","Zimmer Inc.","Manufacturer","001000000041LpnAAE","Warsaw","IN","USA","www.zimmer.com","Life Sciences","9.63E8","005000000074E1AAAU","2002-03-08T07:01:49.000Z","00500000004cHgyAAE","8- Closed - Lost","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVqnAAE","","Amgen, Inc.","Manufacturer","","Thousand Oaks","CA","USA","www.amgen.com","Life Sciences","1.5924E10","005000000071zziAAA","2002-03-08T07:01:51.000Z","00500000004cHgyAAE","6- Selected","B","Bio-Tech","true","true","Target","Item queried and written successfully"
"00100000001tVrMAAU","","Hillenbrand Industries","Manufacturer","","Batesville","IN","USA","http://www.hillenbrand.com","Life Sciences","1.829E9","005000000071zziAAA","2002-03-08T07:02:02.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Disqualified","Item queried and written successfully"
"00100000001tVsGAAU","","Merck & Co. Inc. PARENT","Manufacturer","00100000005NLHwAAO","Whitehouse Station","NJ","USA","www.merck.com","Life Sciences","2.38502E10","005000000074neMAAQ","2002-03-08T07:01:29.000Z","00500000004cHgyAAE","2 - Pre-qualified","A","Pharma","true","true","Target","Item queried and written successfully"
"00100000001tVsHAAU","","Oncology Therapeutic Networks (OTN)","Manufacturer","00100000001tVkjAAE","South San Francisco","CA","USA","http://www.lynx2otn.com","Life Sciences","5.76E7","005000000071zziAAA","2002-03-08T07:02:11.000Z","00500000004cHgyAAE","8- Closed - Lost","","Other","false","false","Target","Item queried and written successfully"
"00100000001tVsLAAU","","Hitachi Medical Systems America","Distributor","","Twinsburg","OH","USA","http://www.hitachimed.com","Life Sciences","2.5E8","005000000071zziAAA","2002-03-08T07:02:14.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Disqualified","Item queried and written successfully"
"00100000001tVsMAAU","","Boston Scientific Corporation","Manufacturer","","Natick","MA","USA","www.bostonscientific.com","Life Sciences","8.05E9","005000000074neMAAQ","2002-03-08T07:02:24.000Z","00500000004cHgyAAE","3 - Qualified","","Med Devices","true","true","Target","Item queried and written successfully"
"00100000001tVsPAAU","","Johnson & Johnson HCS","Manufacturer","00100000001tVsZAAU","Piscataway","NJ","USA","www.jnjgateway.com","Life Sciences","30129.0","005000000075Jq7AAE","2002-03-08T07:02:25.000Z","00500000004cHgyAAE","2 - Pre-qualified","","Med Devices","true","true","Target","Item queried and written successfully"
"00100000001tVsWAAU","","Invacare Corporation","Manufacturer","","Elyria","OH","USA","www.invacare.com","Life Sciences","1.4033E9","005000000071zziAAA","2002-03-08T07:02:25.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Disqualified","Item queried and written successfully"
"00100000001tVsYAAU","","Guidant Corporation","Manufacturer","00100000001tVsMAAU","Indianapolis","IN","USA","www.guidant.com","Life Sciences","3.7656E9","005000000071zziAAA","2002-03-08T07:02:25.000Z","00500000004cHgyAAE","7- Closed - Won","","Med Devices","false","false","Disqualified","Item queried and written successfully"
"00100000001tVsZAAU","","Johnson & Johnson","Manufacturer","","New Brunswick","NJ","USA","www.jnj.com","Life Sciences","6.3747E10","005000000075Jq7AAE","2002-03-08T07:02:25.000Z","00500000004cHgyAAE","0 - Target","A","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVsaAAE","","Johnson & Johnson Ortho-Clinical Diagnostics","Manufacturer","00100000001tVsZAAU","Raritan","NJ","USA","www.orthoclinical.com/ocdindex.asp","Life Sciences","6.3747E10","005000000075Jq7AAE","2002-03-08T07:02:25.000Z","00500000004cHgyAAE","7- Closed - Won","","Med Devices","true","true","Target","Item queried and written successfully"
"00100000001tVsbAAE","","Bayer Corporation","Manufacturer","","WAYNE","NJ","USA","www.bayerus.com","Life Sciences","1.1504E10","005000000074nYnAAI","2002-03-08T07:02:25.000Z","00500000004cHgyAAE","0 - Target","","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVscAAE","","Siemens Medical Solutions Diagnostics","Manufacturer","00100000001tVsbAAE","Norwood","MA","USA","www.siemens.com","Life Sciences","300.0","005000000071zziAAA","2002-03-08T07:02:25.000Z","00500000004cHgyAAE","1 - Prospect","","Pharma","false","false","Target","Item queried and written successfully"
"00100000001tVsdAAE","","Eli Lilly & Co.","Manufacturer","","Indianapolis","IN","USA","www.lilly.com","Pharmaceuticals - Diversified","2.0378E10","005000000074nYnAAI","2002-03-08T07:02:25.000Z","00500000004cHgyAAE","1 - Prospect","A","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVsfAAE","","Cardinal Health Inc.","Distributor","","DUBLIN","OH","USA","http://www.cardinal.com","Life Sciences","6.50535E10","00500000006oz7zAAA","2002-03-08T07:02:26.000Z","00500000004cHgyAAE","2 - Pre-qualified","","Med Devices","false","false","Disqualified","Item queried and written successfully"
"00100000001tVsgAAE","","Marconi Medical Systems","Manufacturer","00100000003KcLqAAK","Cleveland","OH","USA","www.marconimedical.com","Life Sciences","1.5E9","005000000071zziAAA","2002-03-08T07:02:30.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVsoAAE","","3M Healthcare","Manufacturer","","St. Paul","MN","USA","","Life Sciences","0.0","005000000071zziAAA","2002-03-08T07:02:32.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVsqAAE","","Abbott Laboratories","Manufacturer","","ABBOTT PARK","IL","USA","http://www.abbott.com/","Life Sciences","3.8850806E10","0050000000720faAAA","2002-03-08T07:02:32.000Z","00500000004cHgyAAE","0 - Target","","Pharma","true","true","Target","Item queried and written successfully"
"00100000001tVt2AAE","","Kendall","Manufacturer","00100000001tVpxAAE","Mansfield","MA","USA","www.kendallhq.com","Life Sciences","2.6752E9","005000000074E1AAAU","2002-03-08T07:02:33.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVtCAAU","","Baxter International Inc.","Manufacturer","","DEERFIELD","IL","USA","http://www.baxter.com","Life Sciences","1.2348E10","0050000000726E0AAI","2002-03-08T07:02:35.000Z","00500000004cHgyAAE","0 - Target","B","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVtFAAU","","Topco Associates Inc.","Manufacturer","","SKOKIE","IL","USA","www.topco.com","CPG / Food","3.5E9","0050000000720faAAA","2002-03-08T07:02:35.000Z","00500000004cHgyAAE","7- Closed - Won","","Other","false","false","Target","Item queried and written successfully"
"00100000001tVtIAAU","","Express Scripts","Manufacturer","","St. Louis","MO","USA","www.express-scripts.com","Life Sciences","1.51147E10","005000000071zziAAA","2002-03-08T07:02:37.000Z","00500000004cHgyAAE","0 - Target","","Pharma","false","false","Disqualified","Item queried and written successfully"
"00100000001tVtKAAU","","Medtronic Cardiac Rhythm","Manufacturer","00100000002D3OdAAK","Minneapolis","MN","USA","www.medtronic.com","Life Sciences","4.468E8","005000000074E1AAAU","2002-03-08T07:02:37.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","true","Target","Item queried and written successfully"
"00100000001tVtYAAU","","St. Jude Medical Inc.","Manufacturer","","Saint Paul","MN","USA","www.sjm.com","Life Sciences","4.3633E9","005000000074E1AAAU","2002-03-08T07:02:39.000Z","00500000004cHgyAAE","1 - Prospect","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVtZAAU","","St. Jude Medical Inc. / Cardiac Rhythm","Manufacturer","00100000001tVtYAAU","Saint Paul","MN","USA","www.sjm.com","Life Sciences","500.0","005000000071zziAAA","2002-03-08T07:02:39.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVtbAAE","","Owens Illinois","Other","","Perrysburg","OH","USA","www.o-i.com","High Tech","6.1495E9","005000000071vjbAAA","2002-03-08T07:02:39.000Z","00500000004cHgyAAE","8- Closed - Lost","A","Paper & Paper Product Manufacturing","true","false","Undetermined","Item queried and written successfully"
"00100000001tVu5AAE","","Bio-Rad Laboratories","Manufacturer","","Hercules","CA","USA","www.bio-rad.com","Life Sciences","1.09E9","005000000074E1AAAU","2002-03-08T07:28:34.000Z","00500000004cHgyAAE","8- Closed - Lost","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVu9AAE","","Novo Nordisk Pharmaceuticals Inc.","Manufacturer","00100000004Hbv9AAC","Princeton","NJ","USA","www.novonordisk.com","Life Sciences","8.6323E9","00500000006oz7zAAA","2002-03-08T07:28:35.000Z","00500000004cHgyAAE","1 - Prospect","B","Pharma","true","true","Target","Item queried and written successfully"
"00100000001tVuIAAU","","Amersham Biosciences","Manufacturer","001000000026xoUAAQ","Piscataway","NJ","USA","http:www.amershambiosciences.com","Life Sciences","1000000.0","005000000071zziAAA","2002-03-08T07:28:36.000Z","00500000004cHgyAAE","0 - Target","","Pharma","false","false","Target","Item queried and written successfully"
"00100000001tVuKAAU","","Schering-Plough Corporation PARENT","Manufacturer","00100000005NLHwAAO","Kenilworth","NJ","USA","www.schering-plough.com","Life Sciences","1.8502E10","005000000074neMAAQ","2002-03-08T07:28:36.000Z","00500000004cHgyAAE","3 - Qualified","A","Pharma","false","false","Target","Item queried and written successfully"
"00100000001tVuLAAU","","ALZA Corporation","Manufacturer","00100000001tVsZAAU","Irvine","CA","USA","www.alsius.com","Life Sciences","9.88E8","005000000075Jq7AAE","2002-03-08T07:28:36.000Z","00500000004cHgyAAE","0 - Target","","Bio-Tech","true","false","Target","Item queried and written successfully"
"00100000001tVuMAAU","","GlaxoSmithKline Plc","Manufacturer","","RESEARCH TRIANGLE PARK","NC","United Kingdom","www.gsk.com","Life Sciences","3.49538E10","005000000074E15AAE","2002-03-08T07:28:37.000Z","00500000004cHgyAAE","2 - Pre-qualified","A","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVuOAAU","","Philips Medical Systems North America Co.","Manufacturer","","Bothell","WA","USA","www.atl.com","Life Sciences","2.29E8","005000000071zziAAA","2002-03-08T07:28:37.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVuSAAU","","Syncor","Manufacturer","00100000001tVsfAAE","Woodland Hills","CA","USA","","Life Sciences","0.0","005000000071zziAAA","2002-03-08T07:28:37.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVuTAAU","","Centerpulse Usa Inc","Manufacturer","00100000001tVqZAAU","Houston","TX","USA","","Life Sciences","2800000.0","005000000071zziAAA","2002-03-08T07:28:37.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVuUAAU","","Smith & Nephew Endoscopy, Inc.","Manufacturer","00100000001tVpPAAU","Andover","MA","United States","global.smith-nephew.com/master/about_us_endoscopy_1215.htm","Life Sciences","5000000.0","005000000071zziAAA","2002-03-08T07:28:37.000Z","00500000004cHgyAAE","2 - Pre-qualified","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVuXAAU","","MDS","Manufacturer","","Toronto","ON","Canada","www.celerion.com","Life Sciences","1.447E9","005000000071zziAAA","2002-03-08T07:28:38.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVudAAE","","Merial L.L.C. (Delaware)","Manufacturer","","Duluth","GA","USA","","Life Sciences","2.678E8","005000000071zziAAA","2002-03-08T07:28:39.000Z","00500000004cHgyAAE","0 - Target","","Animal Health","false","false","Target","Item queried and written successfully"
